,Player,Age,GS,3PA,2PA,FTA,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%,SRS,TS%
62,Aaron Nesmith,22,-0.6716448905960938,-0.21412591909671,-0.8219619369696635,-0.7048706363318823,-0.7264275868006385,-0.8006704932161625,-0.4985491746444654,-0.7182941056566249,-0.5041005552988058,-0.37795190802636774,-0.7011559857734453,0.8781248532613855,1.5114663615770503,-0.15230289569895028
63,Al Horford,35,1.8861787127898884,0.4911271931374385,0.10878105209427714,-0.14531084411332226,1.7683048068477216,0.8352823889039941,0.22476557513947132,2.479017486659194,-0.14073974995038205,0.3742221194603178,0.30944406519244777,0.8781248532613855,1.5114663615770503,0.35576853261892843
64,Brodric Thomas,25,-0.7879095998409111,-0.8312223923015901,-0.9720817739154604,-0.7670439465783889,-1.1006374458478925,-0.5280116795294698,-1.2218639244284024,-0.7182941056566249,-0.6252208237482805,-1.2554882734275012,-1.016968501700287,0.8781248532613855,1.5114663615770503,0.044503755963725446
65,C.J. Miles,34,-0.7879095998409111,-1.1838489484186645,-1.2122735130287352,-1.0157371875644157,-1.4332684316676738,-1.0187975441655168,-1.462968841023048,-0.9847367383496097,-1.2308221659956533,-0.7540389217697107,-1.3011997660344443,0.8781248532613855,1.5114663615770503,
66,Daniel Theis,29,0.2584727833624452,-0.17004759958207585,-0.04133878485151984,-0.08313753386681554,0.604096356478487,-0.5280116795294698,-0.4985491746444654,0.8803616905012844,-0.019619481500907487,1.001033809032556,-0.006368450734393831,0.8781248532613855,1.5114663615770503,0.4995774897590535
67,Derrick White,27,1.22734536040259,0.975988707798416,0.49909262815334887,0.9116354300772913,0.021992131293869545,1.6532588299640725,0.7069754083287627,1.1468043231942695,0.7071021291959402,0.8756714711181082,0.7831628390827102,0.8781248532613855,1.5114663615770503,0.1201762855886159
68,Enes Freedom,29,-0.7491546967593053,-1.1397706289040301,-0.43165036091059156,-0.5183507055923622,0.4793597367960687,-0.9097340186908397,-1.2218639244284024,0.08103379242232991,-0.5041005552988058,-0.5033142459408154,-0.7169466115697873,0.8781248532613855,1.5114663615770503,0.41903495033878585
69,Grant Williams,23,0.025943364872810463,0.3148139150789014,-0.5217222630780698,-0.2696574646063356,0.06357100452134225,-0.47347991679213125,-0.25744425804981985,0.8803616905012844,-0.2618600183998566,1.001033809032556,-0.06953095391976208,0.8781248532613855,1.5114663615770503,0.7902506661761343
70,Jabari Parker,26,-0.7879095998409111,-0.6108307947284187,-0.6718421000238666,-0.5183507055923622,-0.4769543474358025,-0.7461387304788241,-0.7396540912391111,-0.7182941056566249,-0.38298028684933133,-0.6286765838552629,-0.6064122309953928,0.8781248532613855,1.5114663615770503,0.6623450302559704
71,Jaylen Brown,25,1.769914003545071,1.901633417605736,2.210458769335433,1.9685817042679048,1.1030428352081587,0.8898141516413327,1.1891852415180542,-0.18540884027065505,2.039425082140161,1.1263961469470036,2.425387921902287,0.8781248532613855,1.5114663615770503,0.3316130786202403
72,Jayson Tatum,23,2.157463034361129,2.6068865298398847,2.3906025736703893,2.8390080477189983,1.8930414265301394,1.3806000162773797,0.9480803249234083,0.6139190578082996,2.2816656190391096,0.8756714711181082,2.946478573181575,0.8781248532613855,1.5114663615770503,0.34126844204524526
73,Joe Johnson,40,-0.7879095998409111,-1.1838489484186645,-0.9120338391371415,-1.0157371875644157,-1.4332684316676738,-1.0187975441655168,-1.462968841023048,-0.9847367383496097,-1.2308221659956533,-2.0076623009141867,-0.9853872501076028,0.8781248532613855,1.5114663615770503,3.517154718602344
74,Juwan Morgan,24,-0.7879095998409111,-0.7430657532723216,-1.0621536760829384,-1.0157371875644157,-0.6016909671182205,-0.7461387304788241,-1.462968841023048,-0.9847367383496097,-1.2308221659956533,-0.12722723219747256,-0.9064341211258924,0.8781248532613855,1.5114663615770503,2.267119707137068
75,Kelan Martin,26,-0.7491546967593053,-0.08189096055280719,-0.25150655657563536,-0.7670439465783889,-0.6848487135731658,-0.6370752050041469,-0.4985491746444654,-0.18540884027065505,-0.6252208237482805,-0.5033142459408154,-0.4011340956429457,0.8781248532613855,1.5114663615770503,-0.34527476883188896
76,Luke Kornet,26,-0.7879095998409111,-1.0516139898747616,-0.7619140021913446,-0.7670439465783889,-0.6432698403456931,-0.6916069677414856,-0.9807590078337567,-0.45185147296363987,-1.2308221659956533,-1.2554882734275012,-0.9853872501076028,0.8781248532613855,1.5114663615770503,-0.18740248136762389
77,Malik Fitts,24,-0.7879095998409111,-0.8753007118162245,-1.032129708693779,-1.0157371875644157,-0.9759008261654744,-0.8552022559535011,-1.462968841023048,-0.9847367383496097,-1.1097018975461788,-1.6315752871708438,-1.0801310048856552,0.8781248532613855,1.5114663615770503,0.05551930223696398
78,Marcus Smart,27,1.9636885189531,1.0641453468276842,0.28892485642923327,0.5385955685982512,0.14672875097628746,2.198576457337458,2.635814741085928,-0.18540884027065505,1.4338237398927878,0.8756714711181082,0.6094659553229475,0.8781248532613855,1.5114663615770503,0.0683974101847518
79,Matt Ryan,24,-0.7879095998409111,1.02006702731305,-1.2122735130287352,-1.0157371875644157,-1.4332684316676738,-1.0187975441655168,0.9480803249234083,-0.9847367383496097,-1.2308221659956533,-2.0076623009141867,-0.8274809921441819,0.8781248532613855,1.5114663615770503,-1.7329923295518155
80,Nik Stauskas,28,-0.7879095998409111,-0.6108307947284187,-1.0621536760829384,-0.5183507055923622,-1.2669529387577831,-0.8552022559535011,-1.462968841023048,-0.9847367383496097,-1.1097018975461788,-1.882299962999739,-0.9380153727185765,0.8781248532613855,1.5114663615770503,0.02495653601440717
81,Payton Pritchard,24,-0.7103997936776996,0.35889223459353575,-0.6718421000238666,-0.8292172568248956,-0.6432698403456931,0.07183771058125435,-0.4985491746444654,-0.7182941056566249,-0.5041005552988058,-0.8794012596841582,-0.3221809666612353,0.8781248532613855,1.5114663615770503,0.29725599245688394
82,Robert Williams,24,1.5761394881370419,-1.1838489484186645,0.5891645303208269,-0.08313753386681554,2.558303398169702,0.07183771058125435,0.7069754083287627,4.877001180896059,-0.019619481500907487,0.750309133203661,0.2778628135997637,0.8781248532613855,1.5114663615770503,1.6477329897443633
83,Sam Hauser,24,-0.7879095998409111,-0.43451751666988153,-1.1522255782504165,-1.0157371875644157,-0.9759008261654744,-0.8006704932161625,-1.462968841023048,-0.7182941056566249,-1.1097018975461788,-1.6315752871708438,-0.9064341211258924,0.8781248532613855,1.5114663615770503,0.951293379278883
